"","Gene","logFC","AveExpr","t","pval","padj","B","ensembl_gene_id","ensembl_peptide_id","UniProt_ID","length","mean_score","disordered_residues","disorder_percentage","Biological Process","Molecular Function","Cellular Component","KEGG","Reactome","STRING_ID","Nodes","Edges","Degree","Clustering_coefficient"
"33","ECHS1",-0.940295483330327,2.05980851611094,-4.56032539480638,8.91872277154119e-05,0.0343904253315104,1.44160555235056,"ENSG00000127884","ENSP00000357535","P30084",290,0.128401384083045,5,1.73010380622837,"lipid catabolic process; cellular lipid catabolic process; amino acid metabolic process; branched-chain amino acid catabolic process; branched-chain amino acid metabolic process; lipid modification; organic acid catabolic process; carboxylic acid catabolic process","enoyl-CoA hydratase activity; intramolecular oxidoreductase activity, transposing C=C bonds; lyase activity; intramolecular oxidoreductase activity; hydro-lyase activity","mitochondrial matrix",NA,NA,"9606.ENSP00000357535",1001,127667,1000,0.253587587587588
"34","SELENOM",-0.825707208488837,0.517964724302964,-4.49700326854124,0.0001061098459589,0.0361041495912354,1.28676570233977,"ENSG00000198832","ENSP00000384564","Q8WWX9",145,0.431985416666667,52,36.1111111111111,"glucocorticoid secretion; corticosteroid hormone secretion; multicellular organism growth; steroid hormone secretion; lipid export from cell; hormone metabolic process; endocrine hormone secretion; adipose tissue development",NA,NA,NA,NA,"9606.ENSP00000384564",77,1105,76,0.361052631578947
"35","BCCIP",-1.02712283050058,1.95404476471205,-4.49280979595436,0.000107336940015815,0.0361041495912354,1.27651761881433,"ENSG00000107949","ENSP00000278100","Q9P287",314,0.326938338658147,76,24.2811501597444,"mitotic nuclear division; microtubule cytoskeleton organization involved in mitosis; nuclear chromosome segregation; mitotic spindle assembly; chromosome segregation; nuclear division; neuroendocrine cell differentiation; organelle fission; mitotic spindle organization; spindle assembly; microtubule anchoring; mitotic sister chromatid segregation; neuroepithelial cell differentiation; non-membrane-bounded organelle assembly; spindle organization; sister chromatid segregation",NA,"mitotic spindle pole; spindle; mitotic spindle; nuclear cyclin-dependent protein kinase holoenzyme complex; spindle pole; cyclin-dependent protein kinase holoenzyme complex",NA,NA,"9606.ENSP00000357748",625,46969,624,0.238429641519529
"36","BBIP1",-0.627415160334289,1.12983628819665,-4.48792584004017,0.000108783845437268,0.0361041495912354,1.26458315265644,"ENSG00000214413","ENSP00000436622","A8MTZ0",92,0.585501098901099,51,56.043956043956,"protein localization to ciliary membrane; protein localization to cilium; protein localization to cell periphery; cilium assembly; cilium organization; protein localization to non-motile cilium; eating behavior",NA,NA,NA,"Cargo trafficking to the periciliary membrane","9606.ENSP00000433157",119,3273,118,0.457047660437491
"37","ASCC1",-0.635651785512522,1.04419494664182,-4.4674052010501,0.000115077710728448,0.0375962477128301,1.21445131115889,"ENSG00000138303","ENSP00000500935","Q8N9N2",400,0.265167919799499,83,20.8020050125313,"DNA dealkylation",NA,"neuromuscular junction; DNA repair complex; nuclear speck",NA,NA,"9606.ENSP00000339404",407,12924,406,0.152259320075412
"38","MCAM",-1.06741223088207,1.28528436885658,-4.43769438465415,0.000124835471124193,0.0396161162739974,1.14190578715921,"ENSG00000076706","ENSP00000264036","P43121",646,0.408436279069767,214,33.1782945736434,"renal system process; vascular wound healing; glomerular filtration; renal filtration; angiogenesis involved in wound healing; wound healing",NA,"focal adhesion; cell-substrate junction",NA,"RHOG GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle","9606.ENSP00000264036",676,69959,675,0.30457852511265
"39","COTL1",-1.65102554858523,2.36866034553834,-4.4315764922222,0.000126944367992626,0.0396161162739974,1.12697347238913,"ENSG00000103187","ENSP00000262428","Q14019",142,0.175658865248227,12,8.51063829787234,"regulation of protein-containing complex assembly; defense response to fungus; response to fungus; regulation of actin filament organization","actin binding; actin filament binding","actin filament; secretory granule lumen; cytoplasmic vesicle lumen; vesicle lumen",NA,NA,"9606.ENSP00000262428",280,6952,279,0.172068796575643
"40","THRAP3",-0.727710405050537,2.69964264685049,-4.41568376559907,0.000132421712100555,0.0401276170769639,1.08918741911832,"ENSG00000054118","ENSP00000433825","Q9Y2W1",955,0.891984381551363,869,91.0901467505241,"alternative mRNA splicing, via spliceosome; rhythmic process; positive regulation of circadian rhythm; positive regulation of mRNA splicing, via spliceosome; positive regulation of mRNA processing; circadian rhythm; positive regulation of RNA splicing; regulation of alternative mRNA splicing, via spliceosome; mRNA stabilization","nuclear vitamin D receptor binding; nuclear thyroid hormone receptor binding; DNA-binding transcription factor binding; nuclear receptor coactivator activity","mediator complex; nuclear speck",NA,"PPARA activates gene expression; Regulation of lipid metabolism by PPARalpha","9606.ENSP00000346634",755,59977,754,0.208619104483921
"41","VPS26A",-0.737203876280296,1.61917144929456,-4.40647096121586,0.00013597464864446,0.0404176736171216,1.06571906274772,"ENSG00000122958","ENSP00000362480","O75436",327,0.172746012269939,22,6.74846625766871,"vesicle-mediated transport to the plasma membrane; endocytic recycling; endosomal transport",NA,"early endosome; retromer complex",NA,NA,"9606.ENSP00000263559",583,27047,582,0.156531871225698
"42","GDI2",-1.38270234529806,2.94127329420837,-4.40307258533061,0.000137244957999696,0.0404176736171216,1.05743027124288,"ENSG00000057608","ENSP00000369528","P50395",445,0.0962445945945946,4,0.900900900900901,"protein localization to cilium; negative regulation of cell projection organization; cilium assembly; cilium organization; regulation of protein localization to cilium; small GTPase mediated signal transduction; negative regulation of cilium assembly; negative regulation of plasma membrane bounded cell projection assembly; regulation of plasma membrane bounded cell projection assembly; regulation of cell projection assembly; negative regulation of organelle assembly","GDP-dissociation inhibitor activity; GTPase activator activity","focal adhesion; cell-substrate junction; secretory granule lumen; cytoplasmic vesicle lumen; vesicle lumen; primary lysosome; azurophil granule; vacuolar lumen",NA,NA,"9606.ENSP00000369538",717,41313,716,0.158600617259835
"43","FHL2",-0.619129895676386,0.286522373762026,-4.3879486762025,0.000143042364432915,0.0408652767875473,1.02055086644558,"ENSG00000115641","ENSP00000386892","Q14192",279,0.240592805755396,0,0,"cardiocyte differentiation; ventricular cardiac muscle cell development; cardiac muscle tissue development; striated muscle tissue development; ventricular cardiac muscle cell differentiation; heart trabecula formation; negative regulation of calcineurin-NFAT signaling cascade; negative regulation of calcineurin-mediated signaling; cardiac muscle cell differentiation; second-messenger-mediated signaling; negative regulation of calcium-mediated signaling; trabecula formation; heart trabecula morphogenesis; muscle cell development; regulation of calcineurin-NFAT signaling cascade; regulation of calcineurin-mediated signaling; calcium-mediated signaling; muscle tissue development; calcineurin-NFAT signaling cascade; trabecula morphogenesis; calcineurin-mediated signaling; osteoblast differentiation; heart morphogenesis","bHLH transcription factor binding; DNA-binding transcription factor binding","focal adhesion; cell-substrate junction; Z disc; I band; sarcomere; myofibril; contractile fiber","Cytoskeleton in muscle cells","PPARA activates gene expression; Regulation of lipid metabolism by PPARalpha","9606.ENSP00000386892",579,27893,578,0.163805148932853
"44","PRDX3",-1.34183262842846,3.1645853983711,-4.38097422873148,0.000145796963834151,0.0408652767875473,1.00354856179503,"ENSG00000165672","ENSP00000298510","P30048",256,0.260932549019608,46,18.0392156862745,"response to toxic substance; cellular oxidant detoxification; protein oxidation; cellular detoxification; cellular response to toxic substance; detoxification; hydrogen peroxide catabolic process; female pregnancy; maternal placenta development; cell redox homeostasis; multi-organism reproductive process; peptidyl-cysteine modification; multi-multicellular organism process; hydrogen peroxide metabolic process; maternal process involved in female pregnancy","oxidoreductase activity, acting on a sulfur group of donors; antioxidant activity; oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor; cysteine-type endopeptidase inhibitor activity involved in apoptotic process; cysteine-type endopeptidase regulator activity involved in apoptotic process; peroxidase activity; oxidoreductase activity, acting on peroxide as acceptor","mitochondrial matrix; early endosome",NA,NA,"9606.ENSP00000298510",1001,118765,1000,0.235765765765766
"45","NDUFB8",-1.16266824742066,3.55415540060319,-4.37900894596368,0.000146582608401456,0.0408652767875473,0.998758151182748,"ENSG00000166136","ENSP00000520734","O95169",186,0.67975027027027,156,84.3243243243243,"mitochondrial electron transport, NADH to ubiquinone; NADH dehydrogenase complex assembly; mitochondrial respiratory chain complex I assembly; proton motive force-driven mitochondrial ATP synthesis","NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (quinone) activity; NADH dehydrogenase activity; NAD(P)H dehydrogenase (quinone) activity; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor; oxidoreduction-driven active transmembrane transporter activity","mitochondrial matrix; mitochondrial inner membrane; mitochondrial protein-containing complex; inner mitochondrial membrane protein complex; transmembrane transporter complex; transporter complex; mitochondrial respiratory chain complex I; NADH dehydrogenase complex; respiratory chain complex I","Chemical carcinogenesis - reactive oxygen species",NA,"9606.ENSP00000299166",975,81389,974,0.169705244897658
"46","MAGED2",-1.45551151442607,4.1174272710684,-4.37301090874038,0.000149006412364912,0.0409944088965519,0.984139358698615,"ENSG00000102316","ENSP00000364193","Q9UNF1",606,0.619179173553719,377,62.3140495867769,"renal sodium ion absorption; renal sodium ion transport; renal system process; renal absorption; female pregnancy; multi-organism reproductive process; multi-multicellular organism process",NA,"secretory granule lumen; cytoplasmic vesicle lumen; vesicle lumen; platelet alpha granule lumen",NA,NA,"9606.ENSP00000364193",249,3952,248,0.120935092072613
"47","GSTO1",-0.931308272374311,1.39357166729918,-4.34500350272657,0.000160859929191558,0.0436807825904712,0.915909280176263,"ENSG00000148834","ENSP00000358727","P78417",241,0.17412625,22,9.16666666666667,"positive regulation of calcium ion transmembrane transporter activity; regulation of cation channel activity; response to toxic substance; positive regulation of cation channel activity; intracellular calcium ion homeostasis; calcium ion homeostasis; calcium ion transmembrane transport; regulation of calcium ion transmembrane transporter activity; positive regulation of transmembrane transport; positive regulation of calcium ion transmembrane transport; positive regulation of ion transmembrane transporter activity; regulation of monoatomic ion transmembrane transporter activity; L-ascorbic acid metabolic process; lactone metabolic process; positive regulation of transporter activity; regulation of transmembrane transporter activity; heart contraction; negative regulation of ryanodine-sensitive calcium-release channel activity; cellular oxidant detoxification; heart process; calcium ion transport; negative regulation of release of sequestered calcium ion into cytosol; regulation of transporter activity; positive regulation of striated muscle contraction; positive regulation of sequestering of calcium ion; positive regulation of calcium ion transport; cellular detoxification; xenobiotic metabolic process; cellular response to toxic substance; regulation of skeletal muscle contraction; cellular response to arsenic-containing substance; second-messenger-mediated signaling; release of sequestered calcium ion into cytosol; negative regulation of sequestering of calcium ion; regulation of monoatomic cation transmembrane transport; regulation of sequestering of calcium ion; cardiac muscle contraction; positive regulation of cation transmembrane transport; sequestering of calcium ion; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion; xenobiotic catabolic process; regulation of cardiac muscle contraction by calcium ion signaling; regulation of ryanodine-sensitive calcium-release channel activity; positive regulation of monoatomic ion transmembrane transport; detoxification; regulation of calcium ion transmembrane transport; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum; response to arsenic-containing substance; negative regulation of calcium ion transmembrane transporter activity; striated muscle contraction; regulation of metal ion transport; release of sequestered calcium ion into cytosol by sarcoplasmic reticulum; cellular response to xenobiotic stimulus; release of sequestered calcium ion into cytosol by endoplasmic reticulum; positive regulation of release of sequestered calcium ion into cytosol; calcium ion transmembrane import into cytosol; regulation of heart contraction; sarcoplasmic reticulum calcium ion transport; calcium-mediated signaling; positive regulation of monoatomic ion transport; skeletal muscle contraction; positive regulation of muscle contraction; muscle system process; regulation of monoatomic ion transmembrane transport; negative regulation of calcium ion transmembrane transport; negative regulation of cation channel activity; maintenance of location in cell; glutathione metabolic process; regulation of calcium ion transport; musculoskeletal movement; water-soluble vitamin metabolic process; multicellular organismal movement; regulation of blood circulation; negative regulation of calcium ion transport","oxidoreductase activity, acting on a sulfur group of donors; antioxidant activity; glutathione transferase activity; disulfide oxidoreductase activity; transferase activity, transferring alkyl or aryl (other than methyl) groups",NA,"Chemical carcinogenesis - reactive oxygen species","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Interleukin-12 signaling","9606.ENSP00000358727",525,31761,524,0.227964036022361
"48","OGA",-0.915315587360328,1.64128269667524,-4.3301904608769,0.000167501836314336,0.044332859436664,0.879844246472617,"ENSG00000198408","ENSP00000409973","O60502",916,0.285638142076503,218,23.8251366120219,"protein deglycosylation; glycoprotein biosynthetic process; N-acetylglucosamine metabolic process; glucosamine-containing compound metabolic process; glycoprotein metabolic process; glycoprotein catabolic process; protein glycosylation; macromolecule glycosylation; amino sugar metabolic process; glycosylation","hexosaminidase activity",NA,NA,NA,"9606.ENSP00000354850",483,27716,482,0.234935861491878
"49","CARD19",-0.613709114961646,0.866486788079918,-4.31201951806765,0.000176020944558865,0.0456312255586658,0.83562523256893,"ENSG00000165233","ENSP00000364613","Q96LW7",228,0.350297797356828,70,30.8370044052863,"negative regulation of canonical NF-kappaB signal transduction","CARD domain binding",NA,NA,NA,"9606.ENSP00000364613",118,491,117,0.0551134689065724
"50","SMC3",-1.00495017059271,1.91923795544957,-4.31045915770236,0.00017677216845626,0.0456312255586658,0.831829222899458,"ENSG00000108055","ENSP00000354720","Q9UQE7",1217,0.396358141447368,591,48.6019736842105,"mitotic nuclear division; microtubule cytoskeleton organization involved in mitosis; nuclear chromosome segregation; mitotic spindle assembly; chromosome segregation; nuclear division; establishment of sister chromatid cohesion; meiotic sister chromatid cohesion; organelle fission; mitotic spindle organization; spindle assembly; mitotic sister chromatid cohesion; mitotic sister chromatid segregation; non-membrane-bounded organelle assembly; spindle organization; sister chromatid segregation; sister chromatid cohesion","protein heterodimerization activity; dynein complex binding; beta-tubulin binding; microtubule motor activity","mitotic spindle pole; spindle; mitotic spindle; cohesin complex; lateral element; spindle pole; synaptonemal complex; synaptonemal structure; nuclear chromosome; chromosome, centromeric region",NA,NA,"9606.ENSP00000354720",1001,113395,1000,0.225015015015015
"51","YME1L1",-0.568793492461619,1.62353350313034,-4.28919431284667,0.000187331647379819,0.0469823103052254,0.780114920607786,"ENSG00000136758","ENSP00000398713","Q96TA2",773,0.197763601036269,83,10.7512953367876,"mitochondrial protein processing; protein quality control for misfolded or incompletely synthesized proteins; protein complex oligomerization","metallopeptidase activity","mitochondrial inner membrane",NA,"Processing of SMDT1; Mitochondrial calcium ion transport","9606.ENSP00000318480",1001,117864,1000,0.233961961961962
"52","CTHRC1",-1.98311957255927,0.976120148032924,-4.28209470561668,0.000190994135345744,0.0469823103052254,0.762857045261429,"ENSG00000164932","ENSP00000330523","Q96CG8",243,0.444345041322314,98,40.495867768595,"Wnt signaling pathway, planar cell polarity pathway; regulation of establishment of planar polarity; non-canonical Wnt signaling pathway; establishment of planar polarity; establishment of tissue polarity; morphogenesis of a polarized epithelium; positive regulation of osteoblast proliferation; establishment of planar polarity involved in neural tube closure; establishment of planar polarity of embryonic epithelium; regulation of animal organ morphogenesis; cochlea morphogenesis; regulation of osteoblast proliferation; inner ear receptor cell stereocilium organization; osteoblast proliferation; inner ear receptor cell development; cochlea development; osteoblast differentiation; inner ear receptor cell differentiation; mechanoreceptor differentiation","Wnt-protein binding; frizzled binding",NA,NA,NA,"9606.ENSP00000330523",227,7461,226,0.284562438544739
"53","ALDH18A1",-0.849389887385452,1.29292823239809,-4.25583168143559,0.000205168216130043,0.0492766306152709,0.699051421655964,"ENSG00000059573","ENSP00000360268","P54886",795,0.157526952141058,70,8.81612090680101,"proline metabolic process; ornithine metabolic process; glutamine family amino acid biosynthetic process; amino acid metabolic process; glutamate metabolic process; alpha-amino acid metabolic process","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; oxidoreductase activity, acting on the aldehyde or oxo group of donors","mitochondrial inner membrane",NA,NA,"9606.ENSP00000360268",1001,94562,1000,0.187311311311311
"54","SAR1A",-1.33716224540575,2.96865762087068,-4.25113691666714,0.000207809295746463,0.0492766306152709,0.687651531773937,"ENSG00000079332","ENSP00000362338","Q9NR31",198,0.0700416243654822,0,0,"positive regulation of protein exit from endoplasmic reticulum; COPII-coated vesicle cargo loading; vesicle targeting, rough ER to cis-Golgi; COPII vesicle coating; regulation of protein exit from endoplasmic reticulum; vesicle cargo loading; vesicle targeting, to, from or within Golgi; vesicle coating; regulation of protein-containing complex assembly; COPII-coated vesicle budding; protein exit from endoplasmic reticulum; establishment of organelle localization; vesicle targeting","GTPase activity; GTP binding; guanyl nucleotide binding; guanyl ribonucleotide binding","COPII vesicle coat; endoplasmic reticulum exit site; vesicle coat; ER to Golgi transport vesicle membrane","Protein processing in endoplasmic reticulum",NA,"9606.ENSP00000362339",343,11413,342,0.189861261168562
"55","RBM17",-0.716933111543053,1.67734192574907,-4.2477281269603,0.000209747961392659,0.0492766306152709,0.679375424226465,"ENSG00000134453","ENSP00000369218","Q96I25",401,0.637385,279,69.75,"alternative mRNA splicing, via spliceosome; mRNA cis splicing, via spliceosome",NA,NA,NA,NA,"9606.ENSP00000388638",485,35078,484,0.295963588453707
